timestamp,epoch,shard,train_loss,val_accuracy
2026-08-04T15:12:17,0,81,0.103403,99.2188
2026-08-04T15:23:28,0,82,0.081108,99.3281
2026-08-04T15:32:16,0,83,0.085647,99.2656
2026-08-04T15:39:38,0,84,0.082384,99.2812
2026-08-04T15:45:52,0,85,0.127514,99.2188
2026-08-04T15:52:57,0,86,0.130875,99.3281
2026-08-04T16:00:08,0,87,0.083405,99.2812
2026-08-04T16:06:32,0,88,0.096900,99.2969
2026-08-04T16:12:48,0,89,0.115523,99.3750
2026-08-04T16:20:06,0,90,0.059988,99.3438
2026-08-04T16:26:11,0,91,0.074275,99.4375
2026-08-04T16:32:21,0,92,0.069017,99.4062
2026-08-04T16:38:04,0,93,0.081759,99.3594
2026-08-04T16:44:24,0,94,0.104480,99.4062
2026-08-04T16:49:27,0,95,0.077555,99.2656
2026-08-04T16:54:38,0,96,0.054135,99.3125
2026-08-04T17:01:02,0,97,0.059488,99.2656
2026-08-04T17:08:01,0,98,0.073454,99.4062
2026-08-04T17:13:49,0,99,0.052875,99.3281
2026-08-04T17:19:58,0,100,0.080914,99.4375
2026-08-04T17:26:33,0,101,0.103732,99.3125
2026-08-04T17:32:29,0,102,0.055227,99.4219
2026-08-04T17:38:21,0,103,0.079682,99.5000
2026-08-04T17:44:46,0,104,0.059398,99.4688
2026-08-04T17:50:43,0,105,0.103640,99.5156
2026-08-04T17:57:10,0,106,0.061985,99.5000
2026-08-04T18:03:34,0,107,0.069097,99.4531
2026-08-04T18:10:05,0,108,0.077617,99.3281
2026-08-04T18:15:47,0,109,0.064753,99.5625
2026-08-04T18:21:52,0,110,0.097912,99.4844
2026-08-04T18:27:11,0,111,0.052605,99.4219
2026-08-04T18:31:50,0,112,0.094924,99.4844
2026-08-04T18:36:58,0,113,0.047980,99.4531
2026-08-04T18:43:12,0,114,0.059652,99.5469
2026-08-04T18:48:04,0,115,0.049712,99.5000
2026-08-04T18:54:01,0,116,0.032516,99.4844
2026-08-04T18:59:22,0,117,0.035399,99.5000
2026-08-04T19:05:05,0,118,0.064872,99.4844
2026-08-04T19:12:16,0,119,0.041667,99.5000
2026-08-04T19:17:13,0,120,0.081525,99.4688
2026-08-04T19:23:31,0,121,0.046412,99.5156
2026-08-04T19:29:49,0,122,0.093969,99.4375
2026-08-04T19:36:23,0,123,0.048860,99.5000
2026-08-04T19:43:37,0,124,0.050771,99.5156
2026-08-04T19:49:41,0,125,0.036614,99.5000
2026-08-04T19:58:17,0,126,0.046663,99.5156
2026-08-04T20:08:15,0,127,0.034916,99.5156
2026-08-04T20:16:56,0,128,0.080210,99.5000
2026-08-04T20:22:36,0,129,0.033383,99.4375
2026-08-04T20:29:10,0,130,0.043960,99.5469
